STATION,DATE,TAVG,TMIN,TMAX,AWND,WSF2,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
USW00014765,4/7/2005,56,40,71,9.84,28,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,4/8/2005,50,42,58,7.16,19.9,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,4/9/2005,50,39,61,8.28,15,,,,,,,,,,,,,,,,,,,,
USW00014765,4/10/2005,50,34,65,6.04,25.1,,,,,,,,,,,,,,,,,,,,
USW00014765,4/11/2005,46,38,54,11.86,25.1,,,,,,,,,,,,,,,,,,,,
USW00014765,4/12/2005,43,32,54,10.96,23,,,,,,,,,,,,,,,,,,,,
USW00014765,4/13/2005,43,34,52,7.38,17,,,,,,,,,,,,,,,,,,,,
USW00014765,4/14/2005,46,34,57,11.63,21.9,,,,,,,,,,,,,,,,,,,,
USW00014765,4/15/2005,45,36,54,13.2,25.9,,,,,,,,,,,,,,,,,,,,
USW00014765,4/16/2005,46,32,60,7.61,15,,,,,,,,,,,,,,,,,,,,
USW00014765,4/17/2005,49,33,64,6.71,16.1,,,,,,,,,,,,,,,,,,,,
USW00014765,4/18/2005,59,44,73,7.83,21,,,,,,,,,,,,,,,,,,,,
USW00014765,4/19/2005,53,37,69,7.83,19.9,,,,,,,,,,,,,,,,,,,,
USW00014765,4/20/2005,67,47,86,12.3,25.9,,,,,,,,,,,,,,,1,,,,,
USW00014765,4/21/2005,50,39,61,10.51,23.9,1,,,,,,,,,,,1,1,,1,,,,,
USW00014765,4/22/2005,47,35,58,9.4,21.9,,,,,,,,,,,,,,,1,,,,,
USW00014765,4/23/2005,55,46,63,12.3,23.9,1,1,,,,,,1,,,,1,,,1,,,,,
USW00014765,4/24/2005,51,42,59,15.21,33.1,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,4/25/2005,47,42,51,12.75,25.9,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,4/26/2005,53,38,68,10.29,25.1,,,,,,,,,,,,,,,1,,,,,
USW00014765,4/27/2005,53,50,56,10.07,23,1,1,,,,,,,,,,1,1,,1,,,,,
USW00014765,4/28/2005,53,41,65,11.63,32,1,,,,,,,,,,,1,1,,1,,,,,
USW00014765,4/29/2005,52,40,63,10.96,23.9,,,,,,,,,,,,,,,,,,,,
USW00014765,4/30/2005,52,47,57,7.61,17,1,,1,,,,,,,,,1,1,,1,,,,,
USW00014765,5/1/2005,54,46,62,6.49,19.9,1,1,,,,,,,,,,1,,,1,,,,,
USW00014765,5/2/2005,51,40,61,11.86,28,,,,,,,,,,,,,,,1,,,,,
USW00014765,5/3/2005,50,41,58,7.83,16.1,,,,,,,,,,,,,,,,,,,,
USW00014765,5/4/2005,48,39,57,6.71,16.1,,,,,,,,,,,,,,,,,,,,
USW00014765,5/5/2005,49,36,62,6.71,19.9,,,,,,,,,,,,,,,,,,,,
USW00014765,5/6/2005,47,39,55,8.28,15,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,5/7/2005,45,42,47,22.59,36.9,1,,,,,,,,,,,1,1,,1,,,,,
USW00014765,5/8/2005,48,42,53,22.15,34.9,,,,,,,,,,,,,1,,1,,,,,
USW00014765,5/9/2005,52,47,56,14.09,23,,,,,,,,,,,,,1,,1,,,,,
USW00014765,5/10/2005,58,48,67,7.83,16.1,,,,,,,,,,,,,,,,,,,,
USW00014765,5/11/2005,53,44,62,9.4,23,,,,,,,,,,,,,,,,,,,,
USW00014765,5/12/2005,56,46,65,12.97,30,,,,,,,,,,,,,,,,,,,,
USW00014765,5/13/2005,52,40,64,10.07,19.9,,,,,,,,,,,,,,,,,,,,
USW00014765,5/14/2005,55,49,61,6.49,14.1,,,,,,,,,,,,,,,,,,,,
USW00014765,5/15/2005,57,47,66,5.82,15,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,5/16/2005,55,45,64,8.05,14.1,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,5/17/2005,57,48,65,7.16,19.9,1,,,,,,,,,,,1,,,,,,,,
USW00014765,5/18/2005,55,47,62,5.14,16.1,1,,1,,,,,,,,,1,,,1,,,,,
USW00014765,5/19/2005,56,46,65,6.71,14.1,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,5/20/2005,54,44,63,6.49,17,,,,,,,,,,,,,,,,,,,,
USW00014765,5/21/2005,51,43,58,13.2,25.9,,,,,,,,,,,,,,,,,,,,
USW00014765,5/22/2005,53,46,59,7.38,19.9,,,,,,,,,,,,,1,,1,,,,,
USW00014765,5/23/2005,51,45,57,8.05,21,1,,,,,,,,,,,1,1,,1,,,,,
USW00014765,5/24/2005,48,45,50,15.88,28,1,,,,,,,,,,,1,1,,1,,,,,
USW00014765,5/25/2005,46,44,48,24.16,33.1,1,,,,,,,,,,,1,1,,1,,,,,
USW00014765,5/26/2005,51,46,56,14.54,29.1,1,,,,,,,,,,,1,1,,1,,,,,
USW00014765,5/27/2005,58,51,65,7.61,16.1,1,,1,,,,,,,,,1,1,,1,,,,,
USW00014765,5/28/2005,65,53,77,8.5,21,1,,,,,,,,,,,1,,,,,,,,
USW00014765,5/29/2005,65,54,75,5.59,15,1,,1,,,,,,,,,1,,,1,,,,,
USW00014765,5/30/2005,64,52,76,6.49,25.1,1,,,,,,,,,,,1,,,,,,,,
USW00014765,5/31/2005,59,50,68,8.05,15,,,,,,,,,,,,,,,,,,,,
USW00014765,6/1/2005,60,51,69,7.83,17,,,,,,,,,,,,,,,,,,,,
USW00014765,6/2/2005,57,50,64,9.62,21,,,,,,,,,,,,,,,,,,,,
USW00014765,6/3/2005,64,53,75,7.83,19.9,,,,,,,,,,,,,,,,,,,,
USW00014765,6/4/2005,69,58,80,3.8,13,1,,,,,,,,,,,1,,,,,,,,
USW00014765,6/5/2005,74,59,88,5.37,15,,,,,,,,1,,,,,,,,,,,,
USW00014765,6/6/2005,65,58,72,9.4,17,1,,,,,,,1,,,,1,,,,,,,,
USW00014765,6/7/2005,74,62,86,10.74,23.9,1,,,,,,,,,,,1,,,,,,,,
USW00014765,6/8/2005,75,62,87,6.71,17,,,,,,,,,,,,,,,1,,,,,
USW00014765,6/9/2005,77,66,87,8.05,17.9,,,,,,,,1,,,,,,,,,,,,
USW00014765,6/10/2005,74,67,80,10.51,21,,,,,,,,,,,,,,,,,,,,
USW00014765,6/11/2005,77,67,87,9.62,17,,,,,,,,,,,,,,,,,,,,
USW00014765,6/12/2005,78,67,88,8.05,15,,,,,,,,1,,,,,,,1,,,,,
USW00014765,6/13/2005,83,73,92,8.5,17,,,,,,,,1,,,,,,,1,,,,,
USW00014765,6/14/2005,75,56,93,7.61,29.1,1,,,,,,,1,,,,1,,,1,,,,,
USW00014765,6/15/2005,55,51,59,10.51,17,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,6/16/2005,59,51,67,5.59,14.1,1,,1,,,,,,,,,1,1,,1,,,,,
USW00014765,6/17/2005,66,55,76,6.93,17.9,1,,,,,,,,,,,1,1,,1,,,,,
USW00014765,6/18/2005,62,53,70,5.82,15,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,6/19/2005,60,53,67,8.95,17.9,,,,,,,,,,,,,,,,,,,,
USW00014765,6/20/2005,61,49,73,7.16,17.9,,,,,,,,,,,,,,,,,,,,
USW00014765,6/21/2005,67,52,82,9.17,17.9,,,,,,,,,,,,,,,,,,,,
USW00014765,6/22/2005,68,60,76,7.83,21,1,,1,,,,,,,,,1,,,1,,,,,
USW00014765,6/23/2005,66,55,76,8.95,16.1,,,,,,,,,,,,,,,,,,,,
USW00014765,6/24/2005,70,55,85,9.84,19.9,,,,,,,,,,,,,,,,,,,,
USW00014765,6/25/2005,80,66,93,10.74,17.9,,,,,,,,,,,,,,,,,,,,
USW00014765,6/26/2005,82,70,94,7.38,16.1,,,,,,,,1,,,,,,,,,,,,
USW00014765,6/27/2005,75,68,82,8.72,19.9,1,,,,,,,,,,,1,1,,1,,,,,
USW00014765,6/28/2005,73,68,78,7.38,15,1,1,,,,,,1,,,,1,1,,1,,,,,
USW00014765,6/29/2005,80,70,90,9.62,23,1,,,,,,,,,,,1,1,,1,,,,,
USW00014765,6/30/2005,71,67,75,6.71,14.1,1,,,,,,,,,,,1,1,,1,,,,,
USW00014765,7/1/2005,73,67,79,4.7,13,1,,,,,,,,,,,1,1,,1,,,,,
USW00014765,7/2/2005,74,66,82,8.95,15,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,7/3/2005,70,59,81,7.61,15,,,,,,,,,,,,,,,,,,,,
USW00014765,7/4/2005,68,56,80,5.37,16.1,,,,,,,,,,,,,,,,,,,,
USW00014765,7/5/2005,69,55,83,8.72,17.9,,,,,,,,,,,,,,,1,,,,,
USW00014765,7/6/2005,68,62,74,9.17,23,1,,,,,,,,,,,1,1,,1,,,,,
USW00014765,7/7/2005,64,59,69,13.87,21.9,,,,,,,,,,,,,1,,1,,,,,
USW00014765,7/8/2005,60,57,63,10.74,19.9,1,,,,,,,,,,,1,1,,1,,,,,
USW00014765,7/9/2005,69,56,81,9.84,23.9,1,,1,,,,,,,,,1,,,1,,,,,
USW00014765,7/10/2005,77,63,91,10.07,17,,,,,,,,,,,,,,,,,,,,
USW00014765,7/11/2005,83,72,93,8.95,17,,,,,,,,,,,,,,,,,,,,
USW00014765,7/12/2005,73,63,83,8.5,15,,,,,,,,,,,,,,,,,,,,
USW00014765,7/13/2005,68,62,73,8.05,17,,,,,,,,,,,,,,,,,,,,
USW00014765,7/14/2005,75,65,85,8.5,17.9,1,,,,,,,1,,,,1,1,,1,,,,,
USW00014765,7/15/2005,79,69,88,5.82,15,1,,,,,,,1,,,,1,,,,,,,,
USW00014765,7/16/2005,76,67,84,6.49,17,1,1,,,,,,,,,,1,,,,,,,,
USW00014765,7/17/2005,75,68,81,7.61,14.1,1,1,,,,,,1,,,,1,,,1,,,,,
USW00014765,7/18/2005,77,72,82,8.28,15,1,1,1,,,,,1,,,,1,,,1,,,,,
USW00014765,7/19/2005,84,74,94,6.93,17.9,1,,1,,,,,1,,,,1,1,,1,,,,,
USW00014765,7/20/2005,82,73,91,7.61,17,1,,,,,,,,,,,1,,,,,,,,
USW00014765,7/21/2005,77,68,86,6.26,14.1,,,,,,,,,,,,,,,,,,,,
USW00014765,7/22/2005,81,68,94,7.16,21.9,,,1,,,,,,,,,,,,1,,,,,
USW00014765,7/23/2005,77,68,86,10.51,19.9,,,,,,,,,,,,,,,,,,,,
USW00014765,7/24/2005,73,60,86,7.83,15,,,,,,,,,,,,,,,,,,,,
USW00014765,7/25/2005,77,70,84,12.08,25.1,1,,,,,,,1,,,,1,,,,,,,,
USW00014765,7/26/2005,82,67,96,9.4,17.9,1,,,,,,,1,,,,1,,,,,,,,
USW00014765,7/27/2005,84,73,95,11.41,21.9,1,,1,,,,,1,,,,1,,,1,,,,,
USW00014765,7/28/2005,72,63,80,11.41,19.9,,,,,,,,,,,,,,,,,,,,
USW00014765,7/29/2005,73,57,88,8.05,17,,,,,,,,,,,,,,,,,,,,
USW00014765,7/30/2005,77,68,85,5.14,12.1,1,,,,,,,,,,,1,,,,,,,,
USW00014765,7/31/2005,72,65,79,6.04,12.1,1,,,,,,,1,,,,1,,,,,,,,
USW00014765,8/1/2005,,63,86,7.83,17,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,8/2/2005,,69,92,6.71,15,,,,,,,,,,,,,,,1,,,,,
USW00014765,8/3/2005,,70,95,7.38,19.9,,,1,,,,,,,,,,,,,,,,,
USW00014765,8/4/2005,,68,86,7.38,16.1,1,,,,,,,,,,,1,,,,,,,,
USW00014765,8/5/2005,,72,99,9.4,23.9,1,1,1,,,,,1,,,,1,,,1,,,,,
USW00014765,8/6/2005,,64,86,8.05,16.1,,,,,,,,,,,,,,,,,,,,
USW00014765,8/7/2005,,62,84,7.16,17,,,,,,,,,,,,,,,,,,,,
USW00014765,8/8/2005,,67,91,8.28,17.9,1,,,,,,,1,,,,1,,,,,,,,
USW00014765,8/9/2005,,73,86,7.61,23,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,8/10/2005,,71,85,8.95,19.9,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,8/11/2005,,70,95,6.49,15,,,,,,,,,,,,,,,,,,,,
USW00014765,8/12/2005,,73,87,7.61,16.1,1,,,,,,,1,,,,1,,,,,,,,
USW00014765,8/13/2005,,77,100,9.62,17.9,,,1,,,,,1,,,,,,,,,,,,
USW00014765,8/14/2005,,74,93,7.83,17,1,,1,,,,,1,,,,1,,,1,,,,,
USW00014765,8/15/2005,,64,75,11.63,17.9,1,,,,,,,,,,,1,1,,1,,,,,
USW00014765,8/16/2005,,63,78,7.16,12.1,,,,,,,,,,,,,,,,,,,,
USW00014765,8/17/2005,,66,89,9.4,21,,,,,,,,,,,,,,,,,,,,
USW00014765,8/18/2005,,62,82,6.71,17.9,,,,,,,,,,,,,,,,,,,,
USW00014765,8/19/2005,,59,80,5.37,14.1,,,,,,,,,,,,,,,,,,,,
USW00014765,8/20/2005,,64,84,6.71,17.9,1,,,,,,,1,,,,1,,,,,,,,
USW00014765,8/21/2005,,68,89,7.16,21.9,1,1,1,,,,,1,,,,1,,,1,,,,,
USW00014765,8/22/2005,,68,89,6.93,16.1,,,,,,,,,,,,,,,,,,,,
USW00014765,8/23/2005,,60,83,6.71,14.1,,,,,,,,,,,,,,,,,,,,
USW00014765,8/24/2005,,61,81,7.16,14.1,,,1,,,,,,,,,,,,1,,,,,
USW00014765,8/25/2005,,59,82,8.05,16.1,,,,,,,,,,,,,,,,,,,,
USW00014765,8/26/2005,,59,86,5.82,15,,,,,,,,,,,,,,,,,,,,
USW00014765,8/27/2005,,60,83,8.05,19.9,,,,,,,,,,,,,,,,,,,,
USW00014765,8/28/2005,,69,82,9.4,17.9,,,,,,,,,,,,,,,1,,,,,
USW00014765,8/29/2005,,72,83,7.38,17.9,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,8/30/2005,,71,75,5.59,15,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,8/31/2005,,75,80,15.43,23,,,,,,,,,,,,,1,,1,,,,,
USW00014765,9/1/2005,,66,86,8.5,17.9,,,,,,,,,,,,,,,1,,,,,
USW00014765,9/2/2005,,63,86,6.26,15,,,,,,,,,,,,,,,,,,,,
USW00014765,9/3/2005,,65,83,8.05,15,,,,,,,,,,,,,,,,,,,,
USW00014765,9/4/2005,,61,84,6.49,17,,,,,,,,,,,,,,,,,,,,
USW00014765,9/5/2005,,58,78,7.61,15,,,,,,,,,,,,,,,,,,,,
USW00014765,9/6/2005,,53,78,4.47,12.1,,,,,,,,,,,,,,,,,,,,
USW00014765,9/7/2005,,55,79,5.37,15,,,,,,,,,,,,,,,,,,,,
USW00014765,9/8/2005,,57,83,6.04,15,,,,,,,,,,,,,,,,,,,,
USW00014765,9/9/2005,,60,75,6.26,16.1,1,,,,,,,,,,,1,,,,,,,,
USW00014765,9/10/2005,,55,76,7.16,17,1,,,,,,,,,,,1,,,,,,,,
USW00014765,9/11/2005,,51,74,7.16,16.1,,,,,,,,,,,,,,,,,,,,
USW00014765,9/12/2005,,63,91,9.62,19.9,,,,,,,,1,,,,,,,,,,,,
USW00014765,9/13/2005,,67,85,5.82,15,1,,,,,,,1,,,,1,,,,,,,,
USW00014765,9/14/2005,,66,84,9.17,17.9,1,,,,,,,1,,,,1,,,,,,,,
USW00014765,9/15/2005,,70,76,4.03,14.1,1,,1,,,,,,,,,1,,,1,,,,,
USW00014765,9/16/2005,,66,72,7.83,14.1,1,,,,,,,,,,,1,1,,1,,,,,
USW00014765,9/17/2005,,65,76,7.61,16.1,1,,1,,,,,,,,,1,,,1,,,,,
USW00014765,9/18/2005,,63,78,6.04,14.1,1,,,,,,,,,,,1,,,,,,,,
USW00014765,9/19/2005,,58,82,4.92,13,,,,,,,,,,,,,,,,,,,,
USW00014765,9/20/2005,,61,78,9.17,21,1,,1,,,,,1,,,,1,,,1,,,,,
USW00014765,9/21/2005,,61,80,8.95,15,,,,,,,,,,,,,,,,,,,,
USW00014765,9/22/2005,,56,83,8.72,21.9,,,,,,,,,,,,,,,,,,,,
USW00014765,9/23/2005,,62,83,10.29,21.9,,,,,,,,,,,,,,,,,,,,
USW00014765,9/24/2005,,50,68,8.95,19.9,,,,,,,,,,,,,,,,,,,,
USW00014765,9/25/2005,,45,69,7.61,17,,,,,,,,,,,,,,,,,,,,
USW00014765,9/26/2005,,64,77,14.76,25.9,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,9/27/2005,,52,73,10.07,23.9,,,,,,,,,,,,,,,1,,,,,
USW00014765,9/28/2005,,48,69,6.71,16.1,,,,,,,,,,,,,,,,,,,,
USW00014765,9/29/2005,,48,76,12.75,36.9,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,9/30/2005,,44,62,5.82,12.1,,,,,,,,,,,,,,,,,,,,
USW00014765,10/1/2005,,44,68,5.37,15,,,,,,,,,,,,,,,,,,,,
USW00014765,10/2/2005,,48,75,2.91,12.1,1,,,,,,,,,,,1,,,,,,,,
USW00014765,10/3/2005,,51,72,4.03,13,1,,,,,,,,,,,1,,,,,,,,
USW00014765,10/4/2005,,57,72,4.47,10.1,1,1,,,,,,,,,,1,,,,,,,,
USW00014765,10/5/2005,,59,75,3.8,12.1,1,1,,,,,,1,,,,1,,,,,,,,
USW00014765,10/6/2005,,65,76,6.04,17,1,1,,,,,,,,,,1,1,,1,,,,,
USW00014765,10/7/2005,,68,78,8.28,15,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,10/8/2005,,70,76,14.54,25.1,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,10/9/2005,,52,72,11.41,25.1,1,,,,,,,,,,,1,1,,1,,,,,
USW00014765,10/10/2005,,54,56,9.4,16.1,1,,,,,,,,,,,1,1,,1,,,,,
USW00014765,10/11/2005,,55,60,14.32,25.1,1,,,,,,,,,,,1,1,,1,,,,,
USW00014765,10/12/2005,,53,57,18.79,28,1,,,,,,,1,,,,1,1,,1,,,,,
USW00014765,10/13/2005,,55,61,15.66,21.9,1,,,,,,,,,,,1,,,1,,,,,
USW00014765,10/14/2005,,58,63,12.53,17.9,1,,,,,,,,,,,1,,,1,,,,,
