mpg,hp,weight,accel,size,displ,origin_Asia,origin_US,origin_Europe
25,92,2572,14.9,10,140,0,1,0
22.5,90,3085,17.6,15,232,0,1,0
26.8,115,2700,12.9,15,173,0,1,0
23,95,2904,16,15,198,0,1,0
26,75,2246,14,10,116,0,0,1
30.7,76,3160,19.6,15,145,0,0,1
31,67,2000,16,10,79,0,0,1
27.2,71,3190,24.8,10,141,0,0,1
21.5,115,3245,15.4,15,231,0,1,0
29,84,2525,16,10,135,0,1,0
20,91,2582,14,10,114,0,0,1
13,150,4699,14.5,20,350,0,1,0
14,215,4312,8.5,20,440,0,1,0
38,67,1995,16.2,10,91,1,0,0
13,175,5140,12,20,400,0,1,0
24.5,60,2164,22.1,10,98,0,1,0
13,175,4100,13,20,350,0,1,0
25,110,2945,16.4,15,181,0,1,0
24,95,2278,15.5,10,113,1,0,0
34.1,68,1985,16,10,91,1,0,0
13,150,4464,12,20,400,0,1,0
44.6,67,1850,13.8,10,91,1,0,0
20.5,95,3155,18.2,15,200,0,1,0
18,110,2962,13.5,15,258,0,1,0
23.2,105,2745,16.7,10,156,0,1,0
20,102,3150,15.7,10,130,0,0,1
24,110,2660,14,10,121,0,0,1
25.5,89,2755,15.8,10,140,0,1,0
36.1,66,1800,14.4,10,98,0,1,0
23,88,2957,17,10,120,0,0,1
24,75,2108,15.5,10,90,0,0,1
18,78,3574,21,15,250,0,1,0
26.6,105,3725,19,20,350,0,1,0
32,70,1990,17,10,85,1,0,0
20.3,103,2830,15.9,12.5,131,0,0,1
27,60,1834,19,10,97,0,0,1
17,150,3672,11.5,20,304,0,1,0
21,72,2401,19.5,10,140,0,1,0
13,170,4746,12,20,400,0,1,0
24,90,2430,14.5,10,107,0,0,1
17,110,4060,19,20,260,0,1,0
39.1,58,1755,16.9,10,79,1,0,0
14.5,152,4215,12.8,20,351,0,1,0
13,145,3988,13,20,350,0,1,0
20.2,139,3570,12.8,20,302,0,1,0
27,83,2202,15.3,10,101,0,0,1
35,69,1613,18,10,72,1,0,0
15,150,3777,12.5,20,318,0,1,0
36.4,67,2950,19.9,12.5,121,0,0,1
30,80,2155,14.8,10,111,0,1,0
31.9,71,1925,14,10,89,0,0,1
26,46,1835,20.5,10,97,0,0,1
16,105,3439,15.5,15,225,0,1,0
20,90,2408,19.5,10,140,0,1,0
18.6,110,3620,18.7,15,225,0,1,0
14,175,4464,11.5,20,400,0,1,0
25,80,2126,17,10,97.5,0,1,0
33,74,2190,14.2,10,105,0,0,1
14,150,4096,13,20,318,0,1,0
18.5,150,3940,13,20,360,0,1,0
37.2,65,2019,16.4,10,86,1,0,0
18,100,3288,15.5,15,232,0,1,0
44.3,48,2085,21.7,10,90,0,0,1
18,105,3459,16,15,250,0,1,0
28,90,2264,15.5,10,140,0,1,0
43.4,48,2335,23.7,10,90,0,0,1
20.6,105,3380,15.8,15,231,0,1,0
19.2,105,3535,19.2,15,231,0,1,0
26.4,88,2870,18.1,10,140,0,1,0
18,100,2945,16,15,232,0,1,0
28,75,2155,16.4,10,97,1,0,0
26,113,2234,12.5,10,121,0,0,1
13,190,4422,12.5,20,400,0,1,0
25.8,92,2620,14.4,10,156,0,1,0
28.1,80,3230,20.4,10,141,0,0,1
13,165,4274,12,20,350,0,1,0
16.5,180,4380,12.1,20,350,0,1,0
31.5,71,1990,14.9,10,89,0,0,1
24,97,2489,15,10,120,1,0,0
15,72,3158,19.5,15,250,0,1,0
18,105,3613,16.5,15,225,0,1,0
33.5,90,2556,13.2,10,151,0,1,0
32.4,75,2350,16.8,10,108,1,0,0
27,88,2130,14.5,10,97,1,0,0
13,155,4502,13.5,20,350,0,1,0
31,68,1970,17.6,10,91,1,0,0
28,90,2678,16.5,10,151,0,1,0
27.2,84,2490,15.7,10,135,0,1,0
21,87,2979,19.5,10,120,0,0,1
19,112,2868,15.5,10,121,0,0,1
25,87,2672,17.5,10,110,0,0,1
23,125,3900,17.4,20,350,0,1,0
19,108,2930,15.5,15,156,1,0,0
15.5,142,4054,14.3,20,351,0,1,0
23.9,97,2405,14.9,10,119,1,0,0
22,105,3353,14.5,15,250,0,1,0
29,75,2171,16,10,97,1,0,0
14,137,4042,14.5,20,302,0,1,0
15,150,3399,11,20,318,0,1,0
27,88,2640,18.6,10,112,0,1,0
15,145,4440,14,20,350,0,1,0
30.5,63,2051,17,10,98,0,1,0
25,95,2375,17.5,10,104,0,0,1
17.5,140,4215,13,20,305,0,1,0
34,88,2395,18,10,112,0,1,0
38,85,3015,17,15,262,0,1,0
30,70,2074,19.5,10,79,0,0,1
19.8,85,2990,18.2,15,200,0,1,0
25,115,2671,13.5,10,121,0,0,1
21,86,2226,16.5,10,122,0,1,0
26,79,2255,17.7,10,98,0,1,0
16.5,120,3820,16.7,15,168,0,0,1
18.1,120,3410,15.1,15,258,0,1,0
46.6,65,2110,17.9,10,86,1,0,0
21.5,110,2600,12.8,10,121,0,0,1
14,220,4354,9,20,454,0,1,0
21.6,115,2795,15.7,10,121,0,0,1
15.5,170,4165,11.4,20,350,0,1,0
20.5,100,3430,17.2,15,225,0,1,0
23.9,90,3420,22.2,20,260,0,1,0
12,225,4951,11,20,455,0,1,0
20.2,85,2965,15.8,15,200,0,1,0
34.4,65,2045,16.2,10,98,0,1,0
23,97,2506,14.5,10,120,1,0,0
24.3,90,3003,20.1,10,151,0,1,0
19,90,3211,17,15,232,0,1,0
29,49,1867,19.5,10,68,0,0,1
23.5,110,2725,12.6,15,173,0,1,0
34,70,2245,16.9,10,108,1,0,0
37,92,2434,15,10,119,1,0,0
33,53,1795,17.5,10,91,1,0,0
18,100,2789,15,15,232,0,1,0
15,190,3850,8.5,20,390,0,1,0
34.7,63,2215,14.9,10,105,0,1,0
19.4,90,3210,17.2,15,232,0,1,0
32,67,1965,15.7,10,91,1,0,0
34.1,65,1975,15.2,10,86,1,0,0
33.7,75,2210,14.4,10,107,1,0,0
20,100,3651,17.7,15,225,0,1,0
15,110,3730,19,15,258,0,1,0
38.1,60,1968,18.8,10,89,1,0,0
26,93,2391,15.5,10,108,1,0,0
27,88,2100,16.5,10,97,1,0,0
16,150,4498,14.5,20,318,0,1,0
17,100,3329,15.5,15,250,0,1,0
13,150,3940,13.2,20,318,0,1,0
28,88,2605,19.6,10,112,0,1,0
14,225,3086,10,20,455,0,1,0
31.5,68,2045,18.5,10,98,1,0,0
34.5,70,2150,14.9,10,105,0,1,0
11,208,4633,11,20,429,0,1,0
16,105,3897,18.5,15,250,0,1,0
31.6,74,2635,18.3,10,120,1,0,0
19.1,90,3381,18.7,15,225,0,1,0
18.5,110,3645,16.2,15,250,0,1,0
15,72,3432,21,15,250,0,1,0
18,97,2774,15.5,15,199,0,1,0
35,88,2500,15.1,10,122,0,0,1
20.2,88,3060,17.1,15,200,0,1,0
13,129,3169,12,20,302,0,1,0
31,85,2575,16.2,10,112,0,1,0
22,86,2395,16,10,122,0,1,0
11,150,4997,14,20,400,0,1,0
33.5,70,1945,16.8,10,85,1,0,0
43.1,48,1985,21.5,10,90,0,0,1
25.4,77,3530,20.1,12.5,183,0,0,1
40.8,65,2110,19.2,10,85,1,0,0
14,175,4385,12,20,400,0,1,0
29.8,90,2711,15.5,10,134,1,0,0
16,150,4190,13,20,318,0,1,0
20.6,110,3360,16.6,15,225,0,1,0
18,130,3504,12,20,307,0,1,0
33,53,1795,17.4,10,91,1,0,0
31.8,65,2020,19.2,10,85,1,0,0
13,158,4363,13,20,351,0,1,0
20,95,3102,16.5,15,198,0,1,0
32,61,2003,19,10,83,1,0,0
13,215,4735,11,20,440,0,1,0
23.7,100,2420,12.5,7.5,70,1,0,0
19.2,145,3425,13.2,20,305,0,1,0
37,68,2025,18.2,10,91,1,0,0
18,150,3436,11,20,318,0,1,0
19,88,3270,21.9,10,120,0,0,1
32.3,67,2065,17.8,10,97,1,0,0
18,105,3121,16.5,15,225,0,1,0
13,175,3821,11,20,360,0,1,0
12,160,4456,13.5,20,350,0,1,0
36,74,1980,15.3,10,105,0,0,1
18.2,135,3830,15.2,20,318,0,1,0
19,100,2634,13,15,232,0,1,0
30,67,3250,21.8,10,146,0,0,1
15,198,4341,10,20,429,0,1,0
11,180,3664,11,20,350,0,1,0
10,215,4615,14,20,360,0,1,0
16,100,3278,18,15,250,0,1,0
14,225,4425,10,20,455,0,1,0
16.9,155,4360,14.9,20,350,0,1,0
13,170,4654,13,20,360,0,1,0
25,81,2220,16.9,10,116,0,0,1
21,85,2587,16,15,200,0,1,0
21.1,95,2515,14.8,10,134,1,0,0
26,80,2451,16.5,10,122,0,1,0
28,92,2288,17,10,97,1,0,0
29,70,1937,14,10,90,0,0,1
16,149,4335,14.5,20,351,0,1,0
26.6,84,2635,16.4,10,151,0,1,0
19,97,2330,13.5,7.5,70,1,0,0
32.8,52,1985,19.4,10,78,1,0,0
22,72,2408,19,10,140,0,1,0
19,85,2310,18.5,10,122,0,1,0
31,52,1649,16.5,10,76,1,0,0
23,95,2694,15,10,115,0,0,1
29.5,71,1825,12.2,10,97,0,0,1
17.5,140,4080,13.7,20,318,0,1,0
19,100,3282,15,15,250,0,1,0
24,96,2702,13.5,10,134,1,0,0
14,150,4257,15.5,20,304,0,1,0
28,75,2125,14.5,10,90,0,1,0
21,107,2472,14,15,155,0,1,0
22.4,110,3415,15.8,15,231,0,1,0
36,75,2205,14.5,10,107,1,0,0
18,97,2984,14.5,15,171,0,1,0
16.2,133,3410,15.8,15,163,0,0,1
39.4,70,2070,18.6,10,85,1,0,0
30,67,1985,16.4,10,97,1,0,0
18,112,2933,14.5,10,121,0,0,1
17.5,145,3880,12.5,20,305,0,1,0
28.8,115,2595,11.3,15,173,0,1,0
22,98,2945,14.5,10,121,0,0,1
34.2,70,2200,13.2,10,105,0,1,0
30.5,78,2190,14.1,10,97,0,0,1
16,230,4278,9.5,20,400,0,1,0
38,63,2125,14.7,10,105,0,1,0
41.5,76,2144,14.7,10,98,0,0,1
27.9,105,2800,14.4,10,156,0,1,0
22,95,2833,15.5,15,198,0,1,0
29.8,62,1845,15.3,10,89,0,0,1
17.7,165,3445,13.4,15,231,0,1,0
15,165,3693,11.5,20,350,0,1,0
14,160,3609,8,20,340,0,1,0
15.5,190,4325,12.2,20,400,0,1,0
17.5,95,3193,17.8,15,258,0,1,0
12,180,4499,12.5,20,350,0,1,0
29,78,1940,14.5,10,97,0,0,1
15.5,120,3962,13.9,20,304,0,1,0
35.7,80,1915,14.4,10,98,0,1,0
26,75,2265,18.2,10,97,1,0,0
30,68,2155,16.5,10,98,0,1,0
33.8,67,2145,18,10,97,1,0,0
18,95,3785,19,15,225,0,1,0
13,140,4294,16,20,302,0,1,0
20,110,3221,13.5,20,262,0,1,0
32.4,72,2290,17,10,107,1,0,0
16,150,3433,12,20,304,0,1,0
27.5,95,2560,14.2,10,134,1,0,0
23,54,2254,23.5,10,97,0,0,1
14,153,4129,13,20,351,0,1,0
17,130,3840,15.4,20,305,0,1,0
16,170,4668,11.5,20,400,0,1,0
23,86,2220,14,10,122,0,1,0
24,97,2545,17,10,119,1,0,0
27,90,2735,18,10,151,0,1,0
15,145,4082,13,20,350,0,1,0
27,86,2790,15.6,10,140,0,1,0
28,79,2625,18.6,10,120,0,1,0
14,165,4209,12,20,350,0,1,0
33.5,83,2075,15.9,10,98,0,1,0
39,64,1875,16.4,10,86,0,1,0
24,92,2865,16.4,10,140,0,1,0
26.5,72,2565,13.6,10,140,0,1,0
19.4,140,3735,13.2,20,318,0,1,0
15,150,4135,13.5,20,318,0,1,0
25.5,96,2300,15.5,10,122,0,1,0
14,150,3672,11.5,20,304,0,1,0
27.4,80,2670,15,10,121,0,1,0
13,130,3870,15,20,302,0,1,0
19,100,3630,17.7,15,225,0,1,0
17,125,3140,13.6,15,163,0,0,1
28,90,2123,14,10,116,0,0,1
22,94,2379,16.5,10,108,1,0,0
30,76,2065,14.5,10,88,0,0,1
18,90,2124,13.5,7.5,70,1,0,0
14,150,4077,14,20,318,0,1,0
22,97,2815,14.5,15,146,1,0,0
23.8,85,2855,17.6,10,151,0,1,0
24,81,3012,17.6,15,200,0,1,0
26,78,2300,14.5,10,97,0,0,1
26,46,1950,21,10,97,0,0,1
30,84,2385,12.9,10,135,0,1,0
29,70,1937,14.2,10,90,0,0,1
14,153,4154,13.5,20,351,0,1,0
25.4,116,2900,12.6,15,168,1,0,0
19,100,2901,16,15,232,0,1,0
12,167,4906,12.5,20,400,0,1,0
20,88,2279,19,10,97,1,0,0
27,88,2130,14.5,10,97,1,0,0
22.3,88,2890,17.3,10,140,0,1,0
10,200,4376,15,20,307,0,1,0
19.2,125,3605,15,20,267,0,1,0
26,92,2585,14.5,10,156,0,1,0
16,110,3632,18,15,258,0,1,0
37.3,69,2130,14.7,10,91,0,0,1
26,67,1963,15.5,10,79,0,0,1
20.2,90,3265,18.2,15,232,0,1,0
13,150,3755,14,20,318,0,1,0
21,90,2648,15,15,199,0,1,0
25,71,2223,16.5,10,90,0,0,1
20.5,105,3425,16.9,15,231,0,1,0
37.7,62,2050,17.3,10,89,1,0,0
36,88,2160,14.5,10,120,1,0,0
20,122,2807,13.5,15,156,1,0,0
37,65,1975,19.4,10,85,1,0,0
18,88,3021,16.5,15,250,0,1,0
27,90,2950,17.3,10,151,0,1,0
29.5,68,2135,16.6,10,98,1,0,0
17.5,110,3520,16.4,15,250,0,1,0
25.1,88,2720,15.4,10,140,0,1,0
